,RAPAOPRT,,,,,,,,,
,,,,,,,,,,
I,8.4,8.4,7.7,7.7,6.8,6.1,5.4,4.7,3.9,3.2
J,8.4,8.4,7.7,7.7,6.8,6.1,5.4,4.7,3.9,3.2
K,6.6,6.6,6.8,6.8,5.3,4.7,4,3.4,4.8,2.3
L,6.6,6.6,6.8,6.8,5.3,4.7,4,3.4,4.8,2.3
M,4.3,4.3,5.3,5.3,5.3,3,2.6,2.2,1.9,1.6
N,4.3,4.3,5.3,5.3,5.3,3,2.6,2.2,1.9,1.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CHANI,+14-18,MaxDiameter,3.54,MinDiameter,3.4,,,,,
Color,IF,VVS,VS1,VS2,S1,S2,SI3,I1,I2,I3
D,12.5,12.5,11.1,11.1,9.8,8.5,7.6,6.4,5.2,5.2
F,12.5,12.5,11.1,11.1,9.8,8.5,7.6,6.4,5.2,5.2
G,11,11,9.9,9.9,8.7,7.7,6.8,5.7,4.7,4.7
H,11,11,9.9,9.9,8.7,7.7,6.8,5.7,4.7,4.7
I,9.7,9.7,8.7,8.7,7.6,6.7,5.9,5.2,4.3,4.3
J,9.7,9.7,8.7,8.7,7.6,6.7,5.9,5.2,4.3,4.3
K,7.7,7.7,6.8,6.8,5.9,5.1,4.3,3.7,3.1,3.1
L,7.7,7.7,6.8,6.8,5.9,5.1,4.3,3.7,3.1,3.1
M,5.3,5.3,4.7,4.7,4.1,3.6,3.1,2.6,2.2,2.2
N,5.3,5.3,4.7,4.7,4.1,3.6,3.1,2.6,2.2,2.2
,,,,,,,,,,
,,,,,,,,,,
CHANI,+18-17,MaxDiameter,3.54,MinDiameter,3.4,,,,,
Color,IF,VVS,VS1,VS2,S1,S2,SI3,I1,I2,I3
D,14.6,14.6,12.6,12.6,11.1,9.6,8.4,6.9,5.6,4.8
F,14.6,14.6,12.6,12.6,11.1,9.6,8.4,6.9,5.6,4.8
G,13.1,13.1,11.4,11.4,10,8.7,7.5,6.3,5.1,4.3
H,13.1,13.1,11.4,11.4,10,8.7,7.5,6.3,5.1,4.3
I,11.2,11.2,9.9,9.9,8.7,7.6,6.6,5.6,4.6,3.9
J,11.2,11.2,9.9,9.9,8.7,7.6,6.6,5.6,4.6,3.9
K,9,9,7.8,7.8,6.8,5.8,4.8,4,3.4,2.8
L,9,9,7.8,7.8,6.8,5.8,4.8,4,3.4,2.8
M,6.9,6.9,5.9,5.9,5.1,4.3,3.6,2.9,2.4,2
N,6.9,6.9,5.9,5.9,5.1,4.3,3.6,2.9,2.4,2
